entry_id,date,area,title,description,status,key_paths
68,2026-03-31,scorecard,Tooling 9.5,killer test runner VS Code syntax highlight,pending,"SOURCE/docs/SCORECARD_TO_10.md; main.rs; vscode extension"
69,2026-03-31,scorecard,Code quality 9.0,27 lib warnings to zero clippy -D warnings clean,pending,SOURCE/docs/SCORECARD_TO_10.md
70,2026-03-31,scorecard,Documentation 9.5,User guide 300+ lines tutorials per feature,pending,"SOURCE/docs/SCORECARD_TO_10.md; KILLER_LANGUAGE_GUIDE.md"
71,2026-03-31,scorecard,Testing 9.5,cargo-fuzz real run coverage tarpaulin proptest,pending,"SOURCE/docs/SCORECARD_TO_10.md; fuzz/; .github/workflows/"
72,2026-03-31,scorecard,SCORECARD_TO_10 living doc,Category table dependency-aware priority stack,done,SOURCE/docs/SCORECARD_TO_10.md
73,2026-03-29,kala,CSV full telemetry,killer_kala_full_log.csv all HTTP events; kala_chat_log extended q_fp16 r_fp16 flags history_msgs; ui_serve session_clear http_404,done,"SOURCE/src/v2-rust/killer/src/kala_ui.rs; killer_kala_full_log.csv; kala_chat_log.csv"
74,2026-04-12,kore,KORE v2 columnar engine,"10 codecs (Raw/RLE/Delta/DictRLE/Bitpack/BDict/CDelta/FOR/HuffDict); LZ77+Huffman compression; CRC32 integrity; bloom filters; min/max stats; parallel encode/decode; 65536-row chunks; per-chunk adaptive float scale; fast custom parsers; zero external deps; 3000+ LOC; 17/17 tests passing",done,"SOURCE/src/v2-rust/killer/src/kore_v2.rs"
75,2026-04-12,kore,KORE v15 benchmark results,"1.14 GB CSV (10M rows x 15 cols) → 145.7 MB KORE (87.2% compression); Write 31.3s Read 8.5s; beats Parquet+Brotli by 25% / Gzip by 30% / Zstd by 38% / Snappy by 47%",done,"SOURCE/src/v2-rust/killer/src/bin/kore_bench.rs; SOURCE/src/v2-rust/killer/src/bin/kore_profile.rs"
76,2026-04-12,kore,KORE v3→v15 optimization journey,"v3 229MB → v10 148MB → v12 147MB → v13 146MB → v14 146MB → v15 145.7MB; parallel encoding via std::thread::scope; HuffDict codec; per-chunk float scale; FOR decode optimization; memchr CSV parsing; LZ77 decompression speedup",done,"SOURCE/src/v2-rust/killer/src/kore_v2.rs"
77,2026-04-14,ui,killer_ui VM builtins and JSON snapshot,"VM: ui_core_version ui_headless_tick ui_headless_snapshot_json ui_help ui_native_window; killer_ui::snapshot headless_frame_json; compiler BUILTINS; examples/ui_builtin_demo.killer",done,"SOURCE/src/v2-rust/killer/src/killer_ui/builtins.rs; SOURCE/src/v2-rust/killer/src/killer_ui/snapshot.rs; SOURCE/src/v2-rust/killer/src/builtin.rs; SOURCE/src/v2-rust/killer/src/compiler.rs; SOURCE/src/v2-rust/killer/examples/ui_builtin_demo.killer"
78,2026-04-14,ui,killer_ui Tier 2 native window hook,"run_demo_window stderr stub; feature killer-ui-egui reserved for optional eframe; killer_ui window|demo CLI calls hook; real pixels = add eframe when crates.io available",done,"SOURCE/src/v2-rust/killer/src/killer_ui/runtime_native.rs; SOURCE/src/v2-rust/killer/Cargo.toml; SOURCE/docs/KILLER_UI_ENGINE.md"
79,2026-04-14,ui,killer_ui Tier 3 HTTP control plane,"http_panel run_headless_panel_server: GET /killer-ui/headless.json and /killer-ui/version.json; OPTIONS CORS; killer_ui_serve binary wrapper",done,"SOURCE/src/v2-rust/killer/src/killer_ui/http_panel.rs; SOURCE/src/v2-rust/killer/src/bin/killer_ui_serve.rs"
80,2026-04-14,ui,killer_ui Tier 4 line sugar,"preprocess_ui_sugar + try_ui_assign_sugar (ui version; v = ui snapshot; etc.); examples/ui_tier4_sugar.killer; pipeline_conformance tests",done,"SOURCE/src/v2-rust/killer/src/compiler.rs; SOURCE/src/v2-rust/killer/examples/ui_tier4_sugar.killer; SOURCE/src/v2-rust/killer/tests/pipeline_conformance.rs"
81,2026-04-14,ui,killer_ui Tier 5 CLI,"killer_ui binary: serve|demo|window|help; mirrors HTTP demo and stub window; QUICKSTART + examples README updated",done,"SOURCE/src/v2-rust/killer/src/bin/killer_ui.rs; SOURCE/src/v2-rust/killer/QUICKSTART.md; SOURCE/src/v2-rust/killer/examples/README.md"
82,2026-04-14,docs,KILLER_UI_ENGINE parallel tiers,"Shared contract section; tier program table Tiers 1-6; Phase B eframe instructions; Related files links killer_ui_serve and killer_ui CLI",done,SOURCE/docs/KILLER_UI_ENGINE.md
83,2026-04-14,meta,tracker.csv killer_ui tier batch,Rows 77-82 log killer_ui VM/HTTP/sugar/CLI/docs; Tier 2 pixels remains future eframe,done,tracker.csv
84,2026-04-14,docs,BUILTIN_REFERENCE regen + killer_ui note,"gen-builtin-reference.ps1: 512-name index from builtin.rs; Notes bullet for killer_ui builtins and line sugar; run script after dispatch changes",done,"SOURCE/docs/BUILTIN_REFERENCE.md; SOURCE/src/v2-rust/killer/scripts/gen-builtin-reference.ps1"
85,2026-04-14,ui,killer_ui Tier 4 ui tick sugar,"preprocess_ui_sugar: ui tick and v = ui tick -> ui_headless_tick(); ui_help text updated",done,SOURCE/src/v2-rust/killer/src/compiler.rs
86,2026-04-14,docs,KILLER_UI_ENGINE Tier 2 eframe copy-paste,"Concrete Cargo.toml snippets for eframe 0.29 and killer-ui-egui; docs.rs link for run_native",done,SOURCE/docs/KILLER_UI_ENGINE.md
87,2026-04-14,testing,pipeline ui_tick integration test,default_pipeline_ui_tick_sugar in pipeline_conformance.rs,done,SOURCE/src/v2-rust/killer/tests/pipeline_conformance.rs
88,2026-04-14,meta,tracker.csv continuation batch,Rows 84-87: ordered follow-up BUILTIN Tier4 doc tests,done,tracker.csv
89,2026-04-14,ui,killer_ui Tier 3 health and bind,"GET /health JSON; OPTIONS /health; index link; killer_ui serve HOST PORT and killer_ui_serve HOST PORT; ui_help Tier3 line",done,"SOURCE/src/v2-rust/killer/src/killer_ui/http_panel.rs; SOURCE/src/v2-rust/killer/src/bin/killer_ui.rs; SOURCE/src/v2-rust/killer/src/bin/killer_ui_serve.rs"
90,2026-04-14,docs,KILLER_UI_ENGINE cargo SSL troubleshooting,Windows crates.io SSL revocation note + link for Tier 2 eframe fetch,done,SOURCE/docs/KILLER_UI_ENGINE.md
91,2026-04-14,meta,tracker.csv Tier3 follow-up,Rows 89-90,done,tracker.csv
92,2026-04-14,ui,killer_ui builtin ui_health VM parity,"builtin_ui_health + killer_ui_health_json shared with GET /health; line sugar ui health; pipeline test; BUILTIN_REFERENCE regen",done,"SOURCE/src/v2-rust/killer/src/killer_ui/builtins.rs; SOURCE/src/v2-rust/killer/src/killer_ui/http_panel.rs; SOURCE/docs/KILLER_UI_ENGINE.md"
93,2026-04-14,meta,tracker.csv ui_health batch,Row 92,done,tracker.csv
94,2026-04-14,compiler,top-level reassignment StoreSlot,"split_assignment: if name already in slot_map emit StoreSlot before known_top_level_vars; stop inserting slot-backed names into known_top_level_vars — fixes infinite loop in default_pipeline_while_multiline_condition (LtSlotConst vs Store)",done,SOURCE/src/v2-rust/killer/src/compiler.rs
